Nom du compteur,N° Série actuel,N° Série futur,Latitude,Longitude,OSM_Line_id
Compteur Vélo Tanneurs,XTH19101158,XTH19101158,43.6162094554924,3.87440800666809,188609530
Compteur Piéton/Vélo Berracasa,X2H19070220,X2H19070220,43.6096992492676,3.89693999290466,121403593
Compteur Vélo Lodève Celleneuve,Y2H20042633,X2H20042633,43.61465,3.8336,734202564
Compteur Vélo Lavérune,X2H20042632,X2H20042632,43.5907,3.81324,97705885
Compteur Vélo Vieille poste,Y2H20063161,X2H20063161,43.6157418,3.9096322,676645909
Compteur Vélo Delmas 2,Y2H20063164,X2H20063164,43.6266977,3.8956288,105575465
Compteur Vélo Delmas 1,Y2H20063163,X2H20063163,43.6266977,3.8956288,105575465
Compteur Vélo Gerhardt,Y2H20063162,X2H20063162,43.6138841,3.8684671,23231541
Compteur Vélo Lattes 2,Y2H20042634,X2H20042634,43.57926,3.93327,25871951
Compteur Vélo Lattes 1,Y2H20042635,X2H20042635,43.57883,3.93324,137058167
